Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
apologetic,20,20,0.43,9.80,3.33,1.00
apologia,20,8,0.04,14.00,5.10,0.40
apologist,18,11,0.02,12.36,3.59,0.61
apologize,18,18,49.37,5.67,2.91,1.00
apology,18,18,15.76,5.56,2.01,1.00
apoplectic,18,8,0.16,14.88,2.10,0.44
apoplexy,18,6,0.18,15.50,4.14,0.33
apostate,19,12,0.06,12.58,3.68,0.63
apostle,18,18,1.39,9.50,3.33,1.00
apostolate,19,10,0.02,16.80,4.85,0.53
apostrophe,18,18,0.24,8.39,1.85,1.00
apothecary,20,15,0.39,14.47,4.05,0.75
apothegm,21,2,#N/A,15.50,0.71,0.10
apotheosis,22,14,0.08,15.64,3.43,0.64
